price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,receipt_quantity,product_name,product_brands,product_categories,product_nutriscore,product_image_url,store_name,store_city,store_country,store_lat,store_lon,created
195,3329487311254,4.35,False,,EUR,2023-11-27,,Noisettes Décortiquées,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:hazelnuts', 'en:shelled-nuts', 'en:shelled-hazelnuts', 'en:unsalted-hazelnuts']",a,https://images.openfoodfacts.org/images/products/332/948/731/1254/front_fr.12.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:20.176363Z
196,3329487371258,3.85,False,,EUR,2023-11-27,,Epicerie / Fruits Secs Et Purées / Fruits Séchés Bio,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:fruits-based-foods', 'en:dried-products', 'en:dried-plant-based-foods', 'en:dried-fruits']",a,https://images.openfoodfacts.org/images/products/332/948/737/1258/front_fr.7.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:21.364856Z
197,3329487481254,5.01,False,,EUR,2023-11-27,,Pruneaux D'agen Denoyautes,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:fruits-based-foods', 'en:dried-products', 'en:fruits', 'en:dried-plant-based-foods', 'en:dried-fruits', 'en:french-fruits', 'en:dried-prunes', 'fr:pruneaux-d-agen']",c,https://images.openfoodfacts.org/images/products/332/948/748/1254/front_fr.8.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:22.537684Z
198,3329487601126,3.79,False,,EUR,2023-11-27,,Sucre de canne blond,Markal,"['en:sweeteners', 'en:sugars', 'en:cane-sugar']",e,https://images.openfoodfacts.org/images/products/332/948/760/1126/front_fr.8.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:23.722113Z
199,3329487611200,2.14,False,,EUR,2023-11-27,,Fructose fin cristalisé,Markal,"['en:sweeteners', 'en:food-additives', 'en:sugar-substitutes', 'en:natural-sugar-substitutes', 'en:fructose']",not-applicable,https://images.openfoodfacts.org/images/products/332/948/761/1200/front_fr.37.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:24.915895Z
200,3329487647506,4.01,False,,EUR,2023-11-27,,Sucre De Canne Complet,Markal,"['en:sweeteners', 'en:sugars', 'en:cane-sugar', 'fr:sucres-complets']",e,https://images.openfoodfacts.org/images/products/332/948/764/7506/front_fr.12.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:26.117706Z
201,3329487651121,4.75,False,,EUR,2023-11-27,,Sucre de canne brun,Markal,"['en:sweeteners', 'en:sugars', 'en:cane-sugar']",e,https://images.openfoodfacts.org/images/products/332/948/765/1121/front_fr.4.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:37.297468Z
202,3329487673307,3.38,False,,EUR,2023-11-27,,Pur Sirop d'Agave,Markal,"['en:sweeteners', 'en:syrups', 'en:simple-syrups', 'en:agave-syrups', 'fr:sirops-traditionnels']",d,https://images.openfoodfacts.org/images/products/332/948/767/3307/front_fr.21.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:38.469297Z
203,3329487692506,5.54,False,,EUR,2023-11-27,,Epicerie / Fruits Secs Et Purées / Fruits Secs à Coques Bio,Markal,[],unknown,https://images.openfoodfacts.org/images/products/332/948/769/2506/front_fr.4.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:39.641215Z
204,3329489000101,8.63,False,,EUR,2023-11-27,,Huile De Tournesol Vierge Bio,"Markal,Grand Olio","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fats', 'en:vegetable-fats', 'en:vegetable-oils', 'en:sunflower-seeds-and-their-products', 'en:sunflower-oils']",c,https://images.openfoodfacts.org/images/products/332/948/900/0101/front_fr.31.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:40.814699Z
